iter	Passed	Remaining
0	2	212
1	4	205
2	6	200
3	8	192
4	9	177
5	10	166
6	11	157
7	13	151
8	14	144
9	15	139
10	16	134
11	17	130
12	18	126
13	20	123
14	21	120
15	22	119
16	23	116
17	24	113
18	26	111
19	27	108
20	28	106
21	29	104
22	30	102
23	31	100
24	32	98
25	34	96
26	35	95
27	36	93
28	37	92
29	38	90
30	40	89
31	41	87
32	42	85
33	43	84
34	44	82
35	45	81
36	46	79
37	47	78
38	48	76
39	50	75
40	51	74
41	51	71
42	53	70
43	54	69
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	87	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	118	0
